Class,Sample1,Sample2,Sample3,Sample4,Sample5,Mean,TightMean
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
1,587.00,595.00,590.00,586.00,577.00,587.00,587.67
1,620.00,590.00,576.00,551.00,438.00,555.00,572.33
1,139.00,83.00,104.00,86.00,102.00,102.80,97.33
1,50.00,28.00,34.00,39.00,52.00,40.60,41.00
1,115.00,80.00,82.00,100.00,155.00,106.40,99.00
1,69.00,124.00,165.00,171.00,137.00,133.20,142.00
1,150.00,157.00,170.00,67.00,156.00,140.00,154.33
1,142.00,154.00,129.00,132.00,132.00,137.80,135.33
1,119.00,95.00,124.00,97.00,166.00,120.20,113.33
1,176.00,184.00,133.00,126.00,131.00,150.00,146.67
1,126.00,86.00,101.00,91.00,87.00,98.20,93.00
1,52.00,105.00,98.00,127.00,110.00,98.40,104.33
1,93.00,121.00,114.00,141.00,136.00,121.00,123.67
1,130.00,131.00,150.00,107.00,108.00,125.20,123.00
1,141.00,126.00,103.00,191.00,139.00,140.00,135.33
