Class,Average
0,0
1,139.5
2,318.5
3,813
0,0
1,165.5
2,342
3,830.5
0,0
1,74
2,363
3,835.5
0,0
1,48.5
2,345.5
3,833.5
0,0
1,97.5
2,349
3,834.5
0,0
1,110.5
2,394.5
3,839
0,0
1,47
2,424
3,849.5
0,0
1,23.5
2,438.5
3,856
0,0
1,63
2,323.5
3,856.5
0,0
1,10
2,329.5
3,873
0,0
1,0
2,361.5
3,883
0,0
1,0
2,384
3,898.5
0,0
1,31
2,372
3,918
0,0
1,2
2,394
3,913
0,0
1,50
2,421.5
3,912
0,0
1,86.5
2,416
3,912
0,0
1,88
2,429.5
3,912
0,0
1,112
2,427
3,917.5
0,0
1,63.5
2,416
3,916
0,0
1,131.5
2,465
3,918
0,0
1,65.5
2,445
3,922
0,0
1,15.5
2,436
3,922.5
0,0
1,98
2,432
3,936
0,0
1,112.5
2,437.5
3,948.5
0,0
1,86
2,448.5
3,952.5
