Off,Low,Medium,High
0,123,338,815
0,156,299,811
0,172,332,829
0,159,352,832
0,134,358,834
0,14,368,837
0,15,352,832
0,82,339,835
0,110,323,833
0,85,375,836
0,119,383,838
0,102,406,840
0,94,428,849
0,0,420,850
0,33,442,855
0,14,435,857
0,49,349,857
0,77,298,856
0,20,307,869
0,0,352,877
0,0,371,883
0,0,352,883
0,0,347,890
0,0,421,907
0,34,377,917
0,28,367,919
0,0,393,916
0,4,395,910
0,5,413,914
0,95,430,910
0,113,411,913
0,60,421,911
0,99,427,912
0,77,432,912
0,87,440,916
0,137,414,919
0,23,408,913
0,104,424,919
0,129,451,915
0,134,479,921
0,64,423,922
0,67,467,922
0,6,441,921
0,25,431,924
0,76,432,929
0,120,432,943
0,134,443,945
0,91,432,952
0,119,451,953
0,53,446,952
